epoch,accuracy,precision,recall,f1,roc_auc,cpu_pct
1,0.737,0.6961920529801324,0.841,0.7617753623188406,0.804438,26.72
2,0.7465,0.7191111111111111,0.809,0.7614117647058823,0.8145825,12.819999999999999
3,0.7485,0.7005649717514124,0.868,0.7753461366681554,0.8273124999999999,4.16
4,0.7675,0.742960944595822,0.818,0.7786768205616373,0.834545,18.28
5,0.7605,0.7455230914231856,0.791,0.7675885492479378,0.8351105,8.599999999999998
6,0.738,0.753731343283582,0.707,0.7296181630546955,0.830665,2.8600000000000003
7,0.7535,0.7142857142857143,0.845,0.7741639945029776,0.8362259999999999,16.88
8,0.77,0.7393617021276596,0.834,0.7838345864661654,0.8421675000000001,22.4
9,0.7565,0.7497565725413826,0.77,0.7597434632461766,0.839524,3.34
10,0.765,0.7577821011673151,0.779,0.7682445759368837,0.8442449999999999,3.3600000000000003
